timestamp,controlpriority sentbytes,maxpriority_1_sentbytes,maxpriority_2_sentbytes,lowpriority_sentbytes
23:15:34.385,822,,,
23:15:34.386,1065,,,
23:15:34.585,822,,,
23:15:34.587,1065,,,
23:15:34.786,822,,,
23:15:34.788,1065,,,
23:15:34.983,822,,,
23:15:34.986,1065,,,
23:15:35.181,822,,,
23:15:35.182,1065,,,
23:15:35.395,822,,,
23:15:35.397,1065,,,
23:15:35.586,822,,,
23:15:35.588,1065,,,
23:15:35.788,822,,,
23:15:35.789,1065,,,
23:15:35.983,822,,,
23:15:35.987,1065,,,
23:15:36.182,822,,,
23:15:36.187,1065,,,
23:15:36.382,822,,,
23:15:36.386,1065,,,
23:15:36.587,822,,,
23:15:36.588,1065,,,
23:15:36.780,822,,,
23:15:36.783,1065,,,
23:15:36.980,822,,,
23:15:36.985,1065,,,
23:15:37.216,822,,,
23:15:37.217,1065,,,
23:15:37.387,822,,,
23:15:37.389,1065,,,
23:15:37.581,822,,,
23:15:37.587,1065,,,
23:15:37.809,822,,,
23:15:37.817,1065,,,
23:15:37.985,822,,,
23:15:37.987,1065,,,
23:15:38.182,822,,,
23:15:38.185,1065,,,
23:15:38.386,822,,,
23:15:38.389,1065,,,
23:15:38.583,822,,,
23:15:38.587,1065,,,
23:15:38.788,822,,,
23:15:38.791,1065,,,
23:15:38.989,822,,,
23:15:38.992,1065,,,
23:15:39.011,3562,,,
23:15:39.194,822,,,
23:15:39.207,1065,,,
23:15:39.390,822,,,
23:15:39.398,1065,,,
23:15:39.596,822,,,
23:15:39.598,1065,,,
23:15:39.786,822,,,
23:15:39.788,1065,,,
23:15:39.853,3012,,,
23:15:39.982,822,,,
23:15:39.989,1065,,,
23:15:40.187,822,,,
23:15:40.189,1065,,,
23:15:40.391,822,,,
23:15:40.393,1065,,,
23:15:40.583,822,,,
23:15:40.588,1065,,,
23:15:40.630,,259,,
23:15:40.631,822,,,
23:15:40.635,1065,,,
23:15:40.786,822,,,
23:15:40.789,1065,,,
23:15:40.831,,259,,
23:15:40.833,822,,,
23:15:40.835,1065,,,
23:15:40.988,822,,,
23:15:40.989,1065,,,
23:15:41.034,,259,,
23:15:41.035,822,,,
23:15:41.037,1065,,,
23:15:41.183,822,,,
23:15:41.187,1065,,,
23:15:41.231,,259,,
23:15:41.232,822,,,
23:15:41.235,1065,,,
23:15:41.386,822,,,
23:15:41.392,1065,,,
23:15:41.430,,259,,
23:15:41.431,822,,,
23:15:41.452,1065,,,
23:15:41.588,822,,,
23:15:41.591,1065,,,
23:15:41.631,,259,,
23:15:41.632,822,,,
23:15:41.641,1065,,,
23:15:41.794,822,,,
23:15:41.799,1065,,,
23:15:41.833,,259,,
23:15:41.843,822,,,
23:15:41.848,1065,,,
23:15:41.990,822,,,
23:15:41.995,1065,,,
23:15:42.037,,259,,
23:15:42.039,822,,,
23:15:42.048,1065,,,
23:15:42.199,822,,,
23:15:42.204,1065,,,
23:15:42.231,,259,,
23:15:42.235,822,,,
23:15:42.242,1065,,,
23:15:42.248,3247,,,
23:15:42.405,822,,,
23:15:42.409,1065,,,
23:15:42.432,,259,,
23:15:42.437,822,,,
23:15:42.442,1065,,,
23:15:42.585,822,,,
23:15:42.590,1065,,,
23:15:42.631,,259,,
23:15:42.632,822,,,
23:15:42.635,1065,,,
23:15:42.781,822,,,
23:15:42.789,1065,,,
23:15:42.832,,259,,
23:15:42.835,822,,,
23:15:42.841,1065,,,
23:15:42.984,822,,,
23:15:42.988,1065,,,
23:15:43.031,,259,,
23:15:43.032,822,,,
23:15:43.034,1065,,,
23:15:43.188,822,,,
23:15:43.191,1065,,,
23:15:43.231,,259,,
23:15:43.231,822,,,
23:15:43.235,1065,,,
23:15:43.393,822,,,
23:15:43.396,1065,,,
23:15:43.432,,259,,
23:15:43.432,822,,,
23:15:43.436,1065,,,
23:15:43.584,822,,,
23:15:43.588,1065,,,
23:15:43.632,,259,,
23:15:43.632,822,,,
23:15:43.636,1065,,,
23:15:43.782,822,,,
23:15:43.786,1065,,,
23:15:43.832,,259,,
23:15:43.833,822,,,
23:15:43.836,1065,,,
23:15:44.003,822,,,
23:15:44.008,1065,,,
23:15:44.031,,259,,
23:15:44.032,822,,,
23:15:44.036,1065,,,
23:15:44.184,822,,,
23:15:44.188,1065,,,
23:15:44.231,,259,,
23:15:44.232,822,,,
23:15:44.236,1065,,,
23:15:44.392,822,,,
23:15:44.397,1065,,,
23:15:44.432,,259,,
23:15:44.433,822,,,
23:15:44.438,1065,,,
23:15:44.592,822,,,
23:15:44.595,1065,,,
23:15:44.632,,259,,
23:15:44.633,822,,,
23:15:44.638,1065,,,
23:15:44.782,822,,,
23:15:44.784,1065,,,
23:15:44.832,,259,,
23:15:44.833,822,,,
23:15:44.838,1065,,,
23:15:44.984,822,,,
23:15:44.996,1065,,,
23:15:45.032,,259,,
23:15:45.034,822,,,
23:15:45.036,1065,,,
23:15:45.186,822,,,
23:15:45.192,1065,,,
23:15:45.232,,259,,
23:15:45.234,822,,,
23:15:45.257,1065,,,
23:15:45.388,822,,,
23:15:45.393,1065,,,
23:15:45.433,,259,,
23:15:45.434,822,,,
23:15:45.452,1065,,,
23:15:45.585,822,,,
23:15:45.587,1065,,,
23:15:45.631,,259,,
23:15:45.631,822,,,
23:15:45.633,1065,,,
23:15:45.782,822,,,
23:15:45.787,1065,,,
23:15:45.831,,259,,
23:15:45.831,822,,,
23:15:45.832,1065,,,
23:15:45.980,822,,,
23:15:45.984,1065,,,
23:15:46.031,,259,,
23:15:46.031,822,,,
23:15:46.034,1065,,,
23:15:46.203,822,,,
23:15:46.205,1065,,,
23:15:46.232,,259,,
23:15:46.233,822,,,
23:15:46.235,1065,,,
23:15:46.385,822,,,
23:15:46.387,1065,,,
23:15:46.432,,259,,
23:15:46.433,822,,,
23:15:46.435,1065,,,
23:15:46.585,822,,,
23:15:46.586,1065,,,
23:15:46.631,,259,,
23:15:46.631,822,,,
23:15:46.633,1065,,,
23:15:46.782,822,,,
23:15:46.785,1065,,,
23:15:46.831,,259,,
23:15:46.832,822,,,
23:15:46.833,1065,,,
23:15:46.986,822,,,
23:15:46.989,1065,,,
23:15:47.031,,259,,
23:15:47.032,822,,,
23:15:47.035,1065,,,
23:15:47.186,822,,,
23:15:47.187,1065,,,
23:15:47.231,,259,,
23:15:47.232,822,,,
23:15:47.234,1065,,,
23:15:47.399,822,,,
23:15:47.400,1065,,,
23:15:47.431,,259,,
23:15:47.432,822,,,
23:15:47.438,1065,,,
23:15:47.588,822,,,
